2025-05-21 01:39:19 WARN  [main] c.l.service.impl.JsonVectorStorage - Vectors directory does not exist for namespace default: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/default/vectors
2025-05-21 01:39:19 WARN  [main] c.l.service.impl.InMemoryHnswIndex - No vectors found in storage for namespace default
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initialized namespace default with 0 metadata entries and 0 indexed vectors in 0ms
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Namespace default initialization completed in 85ms
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace: gs-integrations
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace gs-integrations with path: ./data/vector-store/gs-integrations
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Found metadata file for namespace gs-integrations: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/gs-integrations/embedding_metadata.json (size: 1426228 bytes)
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loading metadata for namespace gs-integrations from /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/gs-integrations/embedding_metadata.json
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded metadata for namespace gs-integrations: 804 valid entries, 0 invalid entries in 17ms
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Creating in-memory HNSW index for namespace gs-integrations with initial capacity: 10000
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Building index from storage for namespace gs-integrations
2025-05-21 01:39:19 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Building in-memory HNSW index for namespace gs-integrations from storage
2025-05-21 01:39:19 INFO  [main] c.l.service.impl.JsonVectorStorage - Scanning for vector files in /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/gs-integrations/vectors
2025-05-21 01:39:19 INFO  [main] c.l.service.impl.JsonVectorStorage - Found 804 vector files for namespace gs-integrations in 38ms
2025-05-21 01:39:19 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Found 804 vectors in storage for namespace gs-integrations
2025-05-21 01:39:19 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Creating new index with capacity 10000 for namespace gs-integrations
2025-05-21 01:39:23 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Completed building index for namespace gs-integrations: 804 vectors added, 0 errors, took 4264ms (188.55534709193245 vectors/sec)
2025-05-21 01:39:23 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Memory usage after building index for namespace gs-integrations: 102MB
2025-05-21 01:39:23 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initialized namespace gs-integrations with 804 metadata entries and 804 indexed vectors in 4302ms
2025-05-21 01:39:23 INFO  [main] c.l.s.impl.RobustVectorStoreService - Namespace gs-integrations initialization completed in 4320ms
2025-05-21 01:39:23 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded 0 embedding failures
2025-05-21 01:39:23 INFO  [main] c.l.s.impl.RobustVectorStoreService - RobustVectorStoreService initialized with 2 namespaces, 804 total embeddings, 0 embedding failures in 4410ms
2025-05-21 01:39:23 INFO  [main] c.l.s.impl.RobustVectorStoreService - Vector store memory usage: 102MB
2025-05-21 01:39:23 INFO  [main] c.l.s.i.VectorBasedCodeRepositoryService - Code repository indexing disabled on startup (index-on-startup=false)
2025-05-21 01:39:24 INFO  [main] c.l.service.impl.BasicL3AgentService - Starting on-demand embedding generation for path: data/code/gs-integrations, recursive: true
2025-05-21 01:39:24 INFO  [main] c.l.service.impl.BasicL3AgentService - Processing repository/namespace: gs-integrations
2025-05-21 01:39:24 INFO  [main] c.l.service.impl.BasicL3AgentService - Found 1371 files to process in namespace 'gs-integrations'
2025-05-21 01:39:24 INFO  [main] c.l.service.impl.BasicL3AgentService - Estimated total chunks to process: 16782
2025-05-21 01:39:24 INFO  [main] c.l.service.impl.BasicL3AgentService - Processing file for chunking and embedding: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/data/code/gs-integrations/connectors/src/main/java/com/gainsight/integration/px/worker/routes/WorkerGainsightPXRoutes.java
2025-05-21 01:39:24 INFO  [main] c.l.service.impl.BasicL3AgentService - Processing 2 chunks for file: connectors/src/main/java/com/gainsight/integration/px/worker/routes/WorkerGainsightPXRoutes.java
2025-05-21 01:39:27 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/routes/WorkerGainsightPXRoutes.java#1 of file: connectors/src/main/java/com/gainsight/integration/px/worker/routes/WorkerGainsightPXRoutes.java
2025-05-21 01:39:27 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/routes/WorkerGainsightPXRoutes.java#2 of file: connectors/src/main/java/com/gainsight/integration/px/worker/routes/WorkerGainsightPXRoutes.java
2025-05-21 01:39:27 INFO  [main] c.l.service.impl.BasicL3AgentService - Progress: processed 2/2 chunks from file WorkerGainsightPXRoutes.java, 2 successful, 0 failed in this batch, 0 total failures, 0 skipped
2025-05-21 01:39:27 INFO  [main] c.l.service.impl.BasicL3AgentService - Processing file for chunking and embedding: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/data/code/gs-integrations/connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:27 INFO  [main] c.l.service.impl.BasicL3AgentService - Processing 28 chunks for file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#1 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#2 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#3 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#4 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#5 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#6 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#7 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#8 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#9 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:36 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#10 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:44 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#11 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:44 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#12 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:44 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#13 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:44 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#14 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
2025-05-21 01:39:44 INFO  [main] c.l.service.impl.BasicL3AgentService - Successfully stored embedding for chunk connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java#15 of file: connectors/src/main/java/com/gainsight/integration/px/worker/services/WorkerAptrinsicJobManager.java
